what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1413714018124
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413714025530
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413714029390
activated,editor,com.android.ide.eclipse.adt,20.0.1.v201207132230-403220,"com.android.ide.eclipse.editors.CommonXmlEditor",1413714031546
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1413714041843
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413714048655
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413714068780
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413714083171
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1413714091937
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413714093718
started,bundle,org.eclipse.mylyn.resources.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.resources.ui",1413714093827
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1413714095046
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1413714095687
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1413714098671
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413714101140
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413714110265
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1413714110421
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1413714110546
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1413714113108
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413714115827
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413714115827
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413714115890
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413714128218
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413714129030
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413714131593
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413714132437
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413714180921
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1413714188171
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1413714194233
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1413714196483
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1413714196562
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1413714196577
started,bundle,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui",1413714196577
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413714204312
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413714204312
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413714204390
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413714252468
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413714257093
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413714257108
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413714257155
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413714261858
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1413714262655
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1413714264280
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413714268046
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413714277405
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1413714277515
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1413714279577
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1413714283187
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1413714298374
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413714312483
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413714318218
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1413714318843
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1413714319577
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1413714327343
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413714334499
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413714334499
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413714334562
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413714351358
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413714354390
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413714354468
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1413714356187
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1413714362780
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1413714373171
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1413714374968
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1413714381124
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1413714381390
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1413714391155
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1413714392640
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1413714519952
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413714523593
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413714532108
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1413714532983
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1413714537530
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1413714538812
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1413714540405
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413714542624
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413714542624
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413714542687
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413714549015
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1413714549640
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413714564140
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413714564218
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1413714565827
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1413714570530
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413714573718
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413714576640
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413714578937
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413714579452
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1413714585718
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413714591046
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413714596015
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1413714606468
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1413714609093
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1413714609624
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1413714618733
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413714620952
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413714623968
started,bundle,org.eclipse.wst.html.core,1.1.502.v201202091936,"org.eclipse.wst.html.core",1413714643140
started,bundle,org.eclipse.wst.css.core,1.1.501.v201111292150,"org.eclipse.wst.css.core",1413714643343
started,bundle,org.eclipse.wst.jsdt.web.ui,1.0.401.v201108152113,"org.eclipse.wst.jsdt.web.ui",1413714643452
started,bundle,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.ui",1413714643483
started,bundle,org.eclipse.wst.jsdt.web.core,1.0.401.v201108152113,"org.eclipse.wst.jsdt.web.core",1413714643530
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413714643999
started,bundle,org.eclipse.jst.jsf.facelet.ui,1.0.1.v201104032306,"org.eclipse.jst.jsf.facelet.ui",1413714660624
started,bundle,org.eclipse.jst.jsf.ui,1.3.2.v201104251204,"org.eclipse.jst.jsf.ui",1413714660640
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413714662468
started,bundle,org.eclipse.wst.jsdt.web.support.jsp,1.0.400.v201102241833,"org.eclipse.wst.jsdt.web.support.jsp",1413714662780
opened,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1413714664218
started,bundle,org.eclipse.wst.jsdt.debug.ui,1.0.101.v201201112313,"org.eclipse.wst.jsdt.debug.ui",1413714664530
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1413714664530
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1413714678530
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1413714682437
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1413714684952
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1413714685452
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1413714691249
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413714693968
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413714695843
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1413714695874
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1413714696562
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1413714701374
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1413714703765
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1413714704077
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1413714706562
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413714709608
started,bundle,org.eclipse.jst.server.generic.core,1.0.700.v20101219,"org.eclipse.jst.server.generic.core",1413714710062
started,bundle,org.eclipse.jst.server.preview.adapter,1.1.100.v20100308,"org.eclipse.jst.server.preview.adapter",1413714710077
opened,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1413714718671
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413714718733
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1413714718968
started,bundle,org.maven.ide.eclipse.launching,0.12.1.20110112-1712,"org.maven.ide.eclipse.launching",1413714720437
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1413714722843
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1413714729843
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1413714730124
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1413714730202
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1413714730671
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1413714731280
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1413714761046
activated,editor,com.android.ide.eclipse.adt,20.0.1.v201207132230-403220,"com.android.ide.eclipse.editors.CommonXmlEditor",1413714762983
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1413714765015
activated,editor,com.android.ide.eclipse.adt,20.0.1.v201207132230-403220,"com.android.ide.eclipse.editors.CommonXmlEditor",1413714765327
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1413714777983
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1413714794827
activated,editor,com.android.ide.eclipse.adt,20.0.1.v201207132230-403220,"com.android.ide.eclipse.editors.CommonXmlEditor",1413714795108
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1413714801905
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1413714809452
activated,editor,com.android.ide.eclipse.adt,20.0.1.v201207132230-403220,"com.android.ide.eclipse.editors.CommonXmlEditor",1413714809780
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1413714831327
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1413714836452
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413714837671
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413714880218
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413714880233
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413714977562
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1413714980327
activated,editor,com.android.ide.eclipse.adt,20.0.1.v201207132230-403220,"com.android.ide.eclipse.editors.CommonXmlEditor",1413714980687
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1413714991952
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1413715008296
activated,editor,com.android.ide.eclipse.adt,20.0.1.v201207132230-403220,"com.android.ide.eclipse.editors.CommonXmlEditor",1413715011093
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413715012593
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413715059812
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413715064202
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413715064202
